-2.849267145036240775e-03,1.366543293481015334e-07,7.897332763307721715e-01,-1.813327787105943048e-08,-2.498777648975578081e-02,-7.467526890873238029e-07,9.996877567648511098e-01,3.000313756737561788e-02,-9.933311960176249362e-06,3.483432503309940610e-06,4.999246312187125008e-02,-3.001484557594850597e-02,1.041877877028595065e-05,3.000253992375228815e-02,1.022385065746112104e-05,-4.952477960568853463e-07,4.999257122013661681e-02,-3.001435600038428880e-02,-1.012729302031225117e-05,-2.401092716380528693e-09,-8.990589163399022425e-14,1.374108709528032907e-13,4.979994958096549684e-01,3.000000000000133116e-01,1.052134656310506962e-14,5.009998733665081971e-01,2.611398878742402084e-17,1.853233816558546618e-15,1.281469191557569612e-15,4.979994958662067872e-01,-2.999999999999877209e-01,8.755120703577001456e-15,5.009998716473406111e-01,-3.644431502681995795e-18,5.406127374272281956e-16,8.248243339470843432e-16
-3.106687867563937260e-03,1.295128005480938684e-06,7.888600386416511068e-01,-1.039645016286102525e-06,-2.484178362759881589e-02,-2.238128686925876351e-06,9.996913952716155460e-01,2.867918574308453081e-02,-1.738052714264585324e-03,-1.272626451350244786e-04,5.064395196926653464e-02,-3.086968060292576491e-02,-1.266980748723125398e-03,2.867634459664636717e-02,1.733273068176918123e-03,1.231307290285311149e-04,5.064350190529948170e-02,-3.085398836456683391e-02,1.276235282040655717e-03,4.478292400373639499e-07,8.886549713895569398e-06,1.209078798644387751e-03,4.967479043548558293e-01,3.003411261369677843e-01,1.343201654895228030e-04,5.005795716245593496e-01,-1.479950403962825733e-05,2.721865757264346243e-04,4.512475660439948367e-05,4.967433673092236934e-01,-3.003533011980507594e-01,-1.374773309449600471e-04,5.005809135685020950e-01,1.668379625352388998e-05,2.720897792361994818e-04,-4.298349203658663014e-05
-3.487541179303131622e-03,3.127788590013974613e-06,7.873636615215525714e-01,-4.402105666824441491e-06,-2.463079242464059557e-02,-3.213385739184438518e-06,9.996966159964880694e-01,2.719311984364232437e-02,-2.705469340823551949e-03,5.352369713824329557e-04,5.145516293749774484e-02,-3.300757142017210488e-02,-1.248709979104321681e-03,2.718942057520947961e-02,2.707221089132158792e-03,-5.485680976444100646e-04,5.145490301287022200e-02,-3.298858618266240633e-02,1.260547694597511986e-03,-7.032667480710979133e-07,2.754877372148841641e-05,3.022002242399538137e-03,4.944688921039810947e-01,3.006770626055407236e-01,3.668418508364889577e-04,5.008178114341353959e-01,7.955356122707360565e-05,4.529266809854864593e-04,1.202531913644748734e-04,4.944589341863919740e-01,-3.007089356669581659e-01,-3.753707160756092689e-04,5.008210809348276893e-01,-7.534330634941041203e-05,4.526200778020536314e-04,-1.161045302596955936e-04
-3.869436159967446810e-03,4.478028013950929184e-06,7.860673115426051183e-01,-7.018451352605258766e-06,-2.455403507516210407e-02,-3.820320256049758396e-06,9.996985041989779885e-01,2.650282158650356379e-02,-2.759960687496590577e-03,1.104544981324022965e-03,5.194931173411277553e-02,-3.616699160978843752e-02,-1.387906914932948146e-03,2.649951222095702288e-02,2.771444798370971407e-03,-1.125261626023078007e-03,5.195009484327293287e-02,-3.615709256914270003e-02,1.381056188170841402e-03,-3.591918239413809539e-06,4.302940243927686045e-05,4.768374333212969073e-03,4.904002063334896300e-01,2.999186947686265925e-01,7.909931238040796529e-04,5.047536695982043353e-01,3.497478737574818649e-04,7.301085251788944422e-04,2.551201616508724942e-04,4.903802929385455145e-01,-2.999660395766201582e-01,-8.010636505016660667e-04,5.047657091092733195e-01,-3.435269849377002777e-04,7.308599299225427681e-04,-2.493941482347662090e-04
-4.270364568481981558e-03,4.722732761372932779e-06,7.857983718330626699e-01,-7.419109001703317478e-06,-2.486371991951998386e-02,-4.477896404910434231e-06,9.996908498914395258e-01,2.649525049754799383e-02,-2.689001227926300988e-03,1.427146779532714868e-03,5.235719952305162295e-02,-3.816046170630973261e-02,-1.448466773805061293e-03,2.649181439233328286e-02,2.704263602876672782e-03,-1.450741636925977854e-03,5.235845604165371980e-02,-3.815786381503831481e-02,1.412890304168493106e-03,-8.357860826936633830e-06,4.800370409254875795e-05,6.702503142283546336e-03,4.837247064277881980e-01,2.971182167027572318e-01,1.368917903821632864e-03,5.140490158433841383e-01,8.265418381852314813e-04,1.643503354032483169e-03,5.781932234439271642e-04,4.836874362572486930e-01,-2.971716031766679089e-01,-1.373811483185259554e-03,5.140794983947729602e-01,-8.190347719460649642e-04,1.646774312160204957e-03,-5.707204371966441599e-04
-4.674868631387089739e-03,4.426476655496516749e-06,7.860407914414239139e-01,-8.452094186686204068e-06,-2.523092558772332267e-02,-4.574568724250443764e-06,9.996816494772832185e-01,2.628341634434286714e-02,-2.636814206029445152e-03,1.566298343020708231e-03,5.297007343413436681e-02,-3.832385791261282842e-02,-1.365658477287429477e-03,2.627912273705322599e-02,2.657813712123720425e-03,-1.593373355331434990e-03,5.297170238372195944e-02,-3.832115641019160496e-02,1.310083739471247337e-03,-1.287043873372934645e-05,5.290367584516747371e-05,8.410809014567560693e-03,4.767138972714951572e-01,2.933619576186969335e-01,1.509705690561033344e-03,5.237160448202617946e-01,1.472306147795347407e-03,2.985566108014113540e-03,1.046583133778326759e-03,4.766631747654119233e-01,-2.934183247762980895e-01,-1.510487878016697136e-03,5.237621270882490965e-01,-1.464057944667255390e-03,2.991291734659372922e-03,-1.038314280411960829e-03
-5.055140909513302847e-03,3.815350801018255753e-06,7.863044972416383116e-01,-9.078497411027363839e-06,-2.549624060649083659e-02,-4.308016929365561615e-06,9.996749179678148245e-01,2.577239301662676008e-02,-2.609373806244008522e-03,1.553844510940045670e-03,5.370214739028073003e-02,-3.720433288202208005e-02,-1.261159927805810457e-03,2.576620700501313851e-02,2.634247750553344019e-03,-1.583648210447809136e-03,5.370599513547801018e-02,-3.719743629210572888e-02,1.199701164376873290e-03,-1.595338194015388274e-05,5.717598606958989367e-05,9.747361885013230628e-03,4.706860947487649938e-01,2.893764537920277546e-01,1.092633390682519511e-03,5.312629482117267044e-01,2.054419416454675469e-03,4.498346161694670095e-03,1.533358807109511460e-03,4.706279134869429392e-01,-2.894333138473721978e-01,-1.091717818091411749e-03,5.313191729008890363e-01,-2.045831637454018515e-03,4.505988998679036871e-03,-1.524840997641814392e-03
-5.343633511423266126e-03,2.850625942893267552e-06,7.864348656155059070e-01,-8.584643325477371966e-06,-2.554521819672981101e-02,-4.800192174766662222e-06,9.996736676188600068e-01,2.509628187772394367e-02,-2.620889573309536074e-03,1.415000037098998594e-03,5.427645385824136220e-02,-3.588940964857585680e-02,-1.088592830474757744e-03,2.508829494526601533e-02,2.647018954695404876e-03,-1.442971678552474766e-03,5.428168291052112154e-02,-3.587492295444730250e-02,1.024511835282939905e-03,-1.774687906157705944e-05,5.927799062586848065e-05,1.027755246607063404e-02,4.662351629713230583e-01,2.857299458122618541e-01,2.750361015656583230e-04,5.362224767667591596e-01,2.861922559755538178e-03,5.600214759761249633e-03,2.262743130661138379e-03,4.661736654655534440e-01,-2.857811161863093030e-01,-2.716216538733973694e-04,5.362862012342481943e-01,-2.852762201111207988e-03,5.609964389059974611e-03,-2.253463021831247567e-03
-5.575605553607997956e-03,1.748472679078153152e-06,7.864408927313439879e-01,-8.140080425204395651e-06,-2.551474821313059332e-02,-5.905380120959880734e-06,9.996744457684639817e-01,2.441305880981099741e-02,-2.627526873440240527e-03,1.263796722240263879e-03,5.475070265913483530e-02,-3.484241346229940278e-02,-9.106991010656438667e-04,2.440598186879705880e-02,2.655736762105276576e-03,-1.287651068578514729e-03,5.475226551953318865e-02,-3.481804712905705451e-02,8.469368363190082514e-04,-1.955622427388744268e-05,6.246363184245578540e-05,1.045356714350370760e-02,4.629167292304768866e-01,2.822635245478352650e-01,-7.695452729662945928e-04,5.393660894285059459e-01,3.631888303718883160e-03,6.427118487437192933e-03,3.016287861078461446e-03,4.628536964578386370e-01,-2.823069957563015819e-01,7.757908190652181533e-04,5.394340417243834729e-01,-3.622209921024350469e-03,6.439267612400443978e-03,-3.006253916887639127e-03
-5.783648546338767370e-03,8.603267626040015479e-07,7.863930635158423721e-01,-7.456950085212068268e-06,-2.554681837945768294e-02,-6.621576779665406207e-06,9.996736267258604647e-01,2.379102541641069796e-02,-2.607641117329602583e-03,1.182941405678979846e-03,5.537460581927735465e-02,-3.397195539535780018e-02,-7.913958001291728460e-04,2.378807707435189739e-02,2.635829975050518314e-03,-1.204257718121596070e-03,5.536750322822789339e-02,-3.393866487002250576e-02,7.299211160482933910e-04,-2.349296289168506454e-05,6.710718562578859105e-05,1.057128513282868526e-02,4.602658622009515033e-01,2.788014753093898679e-01,-1.939777058935776566e-03,5.415802297025876788e-01,4.304942795389055804e-03,7.218246842234605186e-03,3.748439005090229564e-03,4.601984575122552990e-01,-2.788449380247812193e-01,1.945286529805397100e-03,5.416474837986353652e-01,-4.295327879388946037e-03,7.234898634631789852e-03,-3.738219742804571848e-03
