1.998653059087297879e-28,1.309632362183320380e-30,1.602156601032521943e-01,3.097544831372300855e-01,-6.150341127296178323e-01,-6.725721036412164455e-01,-2.709848152798524090e-01,-1.482397175514391208e+00,2.154663125497001119e-01,1.029833541410217351e-01,2.510385529664586723e+00,-5.191356181519416468e-01,-2.379782612089094695e-01,3.062464355381961378e-01,-4.636333509455432544e-01,-7.457461507195325412e-01,5.309142866972192953e-01,-5.175006515995637102e-01,7.900464474343171783e-02,-4.403237897022911906e-01,-1.619350724103765016e+00,5.962202875813461533e-01,-7.033982754124692427e-01,-3.285569348167611814e-01,2.700975322616114838e-01,-1.316582800212704907e+00,-1.345411298808703027e+00,-1.825478352947327576e-01,3.915813316424895940e-02,-6.422569568274091312e-01
-9.439883605107301980e-04,-1.108187348112918598e-04,1.648282722004868750e-01,3.116081095192829720e-01,-6.121194384241109843e-01,-6.726487333193256202e-01,-2.752341925507736931e-01,-1.472742782004564654e+00,2.250723920584815074e-01,1.113959562923508284e-01,2.504385957168806076e+00,-5.258672339227242754e-01,-2.371859658194437892e-01,2.953784985248887329e-01,-4.707686874974595925e-01,-7.428520426437309476e-01,5.434006921151266489e-01,-5.184501743773326510e-01,7.319942228526830907e-02,-4.334829259752948638e-01,-1.597978630343420026e+00,6.116737076836807896e-01,-6.845341870828848263e-01,-3.377440154038684472e-01,2.776440703754133321e-01,-1.355141551751197326e+00,-1.330975391504751304e+00,-1.513975959097673685e-01,3.379348217375528762e-02,-6.657857969594571657e-01
-1.801193475034669998e-03,-6.384074541767695049e-06,1.702341363529455975e-01,3.155069933683476990e-01,-6.075929639834687368e-01,-6.731888054252094244e-01,-2.794690671677780847e-01,-1.463147999469965876e+00,2.462445306554101598e-01,1.185355185856331039e-01,2.497364731221712653e+00,-5.345938103831664456e-01,-2.360427311681546070e-01,2.780646512831818629e-01,-4.718392876841311923e-01,-7.398066257073742102e-01,5.552240435063295898e-01,-5.182221299645562995e-01,6.751312377169653434e-02,-4.244511079745054150e-01,-1.574443589475357230e+00,6.320165133489166198e-01,-6.628436732782720942e-01,-3.498244914747243861e-01,2.886079979347332403e-01,-1.396342349123821380e+00,-1.317315600246733664e+00,-1.209452162095747685e-01,2.782059453152875214e-02,-6.910703044011317076e-01
-2.425827371363102353e-03,3.611323352128978695e-04,1.759861965379006521e-01,3.203995467870138780e-01,-6.017486266207030532e-01,-6.742404581909274830e-01,-2.839762759761132460e-01,-1.452556756849552322e+00,2.748101675495441265e-01,1.235676585100784347e-01,2.488957299506572962e+00,-5.436125849796228371e-01,-2.346486813698385743e-01,2.580730159629627818e-01,-4.679327097653707690e-01,-7.350159322036307064e-01,5.659326514274566344e-01,-5.149752410680923376e-01,6.283608319034406087e-02,-4.147402471411393288e-01,-1.550399407070123026e+00,6.558994020090893606e-01,-6.408070967968797493e-01,-3.596144200736932639e-01,3.045049463698641934e-01,-1.437898686018333150e+00,-1.302190733086671770e+00,-9.166961053150413097e-02,2.167557351243099353e-02,-7.174126375462315242e-01
-3.051788732835197197e-03,8.959856726180529104e-04,1.818250377059568157e-01,3.248383639366465570e-01,-5.957046865062509688e-01,-6.754299205335096978e-01,-2.888100084647173271e-01,-1.439312462733272513e+00,3.051689128101571225e-01,1.293116265316752445e-01,2.478828585882551394e+00,-5.523992811817932669e-01,-2.330829131639428342e-01,2.398077104137287530e-01,-4.638341431797886605e-01,-7.302980316245454295e-01,5.757571217129695551e-01,-5.084018943718119354e-01,5.928401076620174598e-02,-4.067640400890559227e-01,-1.526274847980140903e+00,6.809543978845636891e-01,-6.194233806820325094e-01,-3.640497068549802262e-01,3.251507258435111236e-01,-1.479080947614740627e+00,-1.284529131488706843e+00,-6.275520572705499400e-02,1.574077264961366504e-02,-7.435045323095831327e-01
-3.887398057934920992e-03,1.498964935185526873e-03,1.875384742902544422e-01,3.282089312444818607e-01,-5.901069056542065372e-01,-6.765050318913494731e-01,-2.939280169977962487e-01,-1.422991931802858323e+00,3.337701982244203336e-01,1.367545412383815995e-01,2.466996531126599557e+00,-5.608312587079181677e-01,-2.314038877401737027e-01,2.253943786553806727e-01,-4.627048099602001918e-01,-7.259147308456146419e-01,5.846613836846120682e-01,-4.987840433133667317e-01,5.668039225118982199e-02,-4.017731960858468843e-01,-1.502430689522305185e+00,7.048776699156698022e-01,-5.997067897104563228e-01,-3.627088208285576543e-01,3.497127659421556123e-01,-1.519325057386915701e+00,-1.263563648081292623e+00,-3.306481666871266545e-02,1.001671010104321705e-02,-7.682896822811545734e-01
-5.399058336382669965e-03,1.995903481658472482e-03,1.927639566344075406e-01,3.311456850415761544e-01,-5.845696563871328744e-01,-6.769903061243759401e-01,-3.005078659925534690e-01,-1.399009183689911451e+00,3.590643061785221413e-01,1.444380942462025752e-01,2.455140108631741924e+00,-5.698237558010165182e-01,-2.298506402382319014e-01,2.152990021416454625e-01,-4.668893490557154413e-01,-7.196360114252092766e-01,5.923386669686780959e-01,-4.866694171461114493e-01,5.473542339039227933e-02,-3.971795871504696374e-01,-1.476744310906364488e+00,7.262428180261611965e-01,-5.809246706341165689e-01,-3.586040088919807411e-01,3.776588982641090886e-01,-1.558883343104384922e+00,-1.238352614574339317e+00,-8.194237877433632744e-04,4.250713366520171566e-03,-7.915609319014434986e-01
-7.627900350576287576e-03,2.234042400690756068e-03,1.973742402849294197e-01,3.340915152835529645e-01,-5.795195057052834331e-01,-6.766817146959366314e-01,-3.076391700008480612e-01,-1.370120281442801069e+00,3.793246462213695214e-01,1.526502217517736737e-01,2.442801708646272996e+00,-5.779540856198416288e-01,-2.289467891546707601e-01,2.072744094087191069e-01,-4.764197769388613946e-01,-7.137068152167085344e-01,5.995497728025626083e-01,-4.743850532293969469e-01,5.236930861803539700e-02,-3.930180413841025677e-01,-1.448679968009568331e+00,7.463915462480311680e-01,-5.599227879664638863e-01,-3.563563943369959519e-01,4.024604970113415114e-01,-1.598333069287426911e+00,-1.210970852738655790e+00,3.306779297945584839e-02,-3.425524311992285409e-04,-8.144939044771601910e-01
-1.036078424632633395e-02,2.232660841754445687e-03,2.013282601464087274e-01,3.366077176063471676e-01,-5.750723467973933856e-01,-6.758980399980437648e-01,-3.148804001790478924e-01,-1.338208448344773815e+00,3.943773151144266964e-01,1.616253993147584445e-01,2.429272754544996804e+00,-5.843961685921869043e-01,-2.286323450988655415e-01,2.007513623158367344e-01,-4.916185944967480514e-01,-7.109235903058928052e-01,6.081630719440582755e-01,-4.623482950855538620e-01,4.928669881437332256e-02,-3.896257359671714826e-01,-1.420977538335494339e+00,7.662113606638668584e-01,-5.369611025907203850e-01,-3.571406764013739799e-01,4.212849866540033239e-01,-1.635998709011534213e+00,-1.182373666697567494e+00,6.541940976358932847e-02,-3.290318050456243325e-03,-8.376365809328953915e-01
-1.334894789220227723e-02,2.002448078869338999e-03,2.045910653545227331e-01,3.387779503100724621e-01,-5.709552003932667485e-01,-6.749527440026229508e-01,-3.219913863613747540e-01,-1.305859444154212401e+00,4.054383169594911740e-01,1.704238796559049418e-01,2.414444649337029958e+00,-5.890725346777330174e-01,-2.287966656307578173e-01,1.950728015477485311e-01,-5.125990222926238848e-01,-7.156099810153450091e-01,6.191247183920064456e-01,-4.505587304156597472e-01,4.546432549937865636e-02,-3.866125382880857275e-01,-1.396937401514274146e+00,7.863845915672962317e-01,-5.132314917754802197e-01,-3.606885821937859116e-01,4.331553197129275889e-01,-1.672062999586247933e+00,-1.152917722347525542e+00,9.399553511313124554e-02,-2.500061485006830307e-03,-8.611531182755051139e-01
